Age,Gender,Sport,WatchTime,PreviousClicks,Device,AdCategory
50,F,Football,157,0,Laptop,Sports
25,M,Football,79,10,Laptop,Travel
34,F,Cricket,102,1,Laptop,Food
42,M,Football,28,14,Laptop,Travel
44,F,Cricket,94,19,Laptop,Food
56,F,Cricket,72,16,TV,Food
36,F,Football,78,12,Laptop,Travel
54,F,Football,9,1,TV,Travel
58,F,Football,9,7,Mobile,Travel
58,M,Football,146,4,Mobile,Sports
26,M,Cricket,56,7,TV,Travel
33,M,Cricket,173,16,TV,Food
39,M,Cricket,21,2,Laptop,Food
50,F,Cricket,8,13,Mobile,Food
52,M,Football,72,18,Laptop,Travel
18,M,Cricket,31,3,Laptop,Travel
45,M,Cricket,100,3,Laptop,Food
60,F,Cricket,15,12,Laptop,Food
52,M,Cricket,49,8,Mobile,Food
58,F,Cricket,85,3,TV,Food
52,F,Football,7,12,TV,Travel
56,M,Cricket,23,12,Laptop,Food
37,M,Football,99,9,TV,Travel
57,M,Football,8,16,TV,Travel
21,F,Football,106,2,Laptop,Sports
35,F,Cricket,156,16,Mobile,Food
30,M,Cricket,75,18,TV,Travel
47,M,Football,30,1,Laptop,Travel
28,M,Cricket,111,7,TV,Sports
59,F,Cricket,153,10,Laptop,Food
35,M,Football,162,19,Mobile,Sports
23,F,Cricket,62,4,Mobile,Travel
19,M,Football,56,15,TV,Gaming
57,F,Football,156,11,TV,Sports
54,M,Football,153,13,Laptop,Sports
51,F,Football,23,15,Laptop,Travel
39,F,Football,137,10,Laptop,Sports
56,M,Cricket,13,15,TV,Food
44,F,Football,141,8,TV,Sports
58,F,Cricket,58,0,Mobile,Food
57,M,Cricket,65,10,Mobile,Food
19,F,Cricket,152,18,TV,Gaming
51,M,Football,79,10,Mobile,Travel
24,F,Cricket,35,15,Mobile,Gaming
33,F,Cricket,134,2,Mobile,Food
41,F,Cricket,128,13,Laptop,Food
47,M,Cricket,9,13,Laptop,Food
44,M,Football,154,11,Mobile,Sports
22,M,Cricket,166,14,Mobile,Gaming
48,M,Football,174,20,Laptop,Sports
40,F,Football,173,6,Mobile,Sports
55,M,Cricket,42,10,TV,Food
38,M,Cricket,111,4,TV,Food
27,F,Cricket,135,14,Mobile,Sports
21,M,Cricket,141,11,Laptop,Gaming
36,F,Cricket,165,14,TV,Food
49,F,Cricket,135,15,Laptop,Food
24,M,Cricket,114,0,TV,Sports
35,M,Cricket,25,13,TV,Food
60,F,Football,168,18,Mobile,Sports
34,M,Football,68,1,TV,Travel
60,F,Cricket,167,20,TV,Food
21,M,Football,68,20,Mobile,Gaming
57,F,Football,62,20,Mobile,Travel
20,F,Football,60,18,Mobile,Gaming
38,M,Football,146,11,TV,Sports
41,M,Cricket,89,15,Laptop,Food
40,M,Football,94,1,TV,Travel
24,M,Football,66,9,TV,Gaming
34,F,Cricket,111,10,Mobile,Food
32,F,Cricket,52,20,TV,Food
42,M,Cricket,38,17,Mobile,Food
19,M,Football,155,12,Mobile,Gaming
49,M,Football,93,1,Laptop,Travel
48,M,Cricket,10,5,Laptop,Food
37,F,Football,109,7,Laptop,Sports
20,M,Football,71,2,Laptop,Travel
47,M,Cricket,60,8,TV,Food
39,F,Cricket,118,10,Laptop,Food
54,M,Football,49,11,Mobile,Travel
38,M,Football,60,9,Laptop,Travel
52,M,Cricket,63,0,Mobile,Food
38,M,Cricket,83,7,TV,Food
18,F,Cricket,169,0,TV,Sports
48,M,Cricket,21,6,TV,Food
59,M,Cricket,71,7,TV,Food
39,M,Cricket,10,14,Mobile,Food
19,M,Football,108,6,Mobile,Sports
35,F,Football,122,14,TV,Sports
57,F,Football,12,12,Mobile,Travel
31,F,Cricket,120,13,TV,Food
58,F,Football,126,3,Laptop,Sports
56,M,Cricket,69,14,Laptop,Food
37,F,Cricket,20,8,Laptop,Food
47,F,Cricket,17,15,TV,Food
22,F,Football,170,18,Laptop,Gaming
27,M,Cricket,84,12,TV,Travel
47,M,Football,62,18,Laptop,Travel
26,M,Football,105,9,TV,Sports
33,M,Football,116,10,Mobile,Sports
51,M,Football,91,8,Mobile,Travel
47,M,Football,161,8,TV,Sports
60,M,Cricket,113,11,Laptop,Food
30,F,Cricket,139,16,Mobile,Sports
56,F,Cricket,23,12,Mobile,Food
46,M,Football,12,18,Laptop,Travel
41,M,Football,54,19,Laptop,Travel
39,F,Football,58,6,Laptop,Travel
47,F,Cricket,173,20,Laptop,Food
27,M,Cricket,94,7,Mobile,Travel
20,F,Football,105,18,TV,Gaming
20,M,Cricket,140,16,Mobile,Gaming
43,F,Cricket,52,2,Laptop,Food
41,M,Cricket,32,7,Laptop,Food
41,F,Cricket,132,2,TV,Food
35,F,Cricket,15,6,Laptop,Food
29,M,Football,163,6,TV,Sports
40,M,Cricket,45,7,Laptop,Food
55,F,Football,83,17,Laptop,Travel
42,M,Cricket,49,8,TV,Food
30,F,Cricket,28,16,TV,Travel
40,F,Football,90,13,TV,Travel
38,M,Football,57,7,Laptop,Travel
22,M,Cricket,17,1,Mobile,Travel
55,M,Cricket,27,9,Laptop,Food
24,M,Cricket,153,4,Mobile,Sports
45,F,Cricket,160,15,Mobile,Food
26,F,Football,125,9,Mobile,Sports
50,M,Cricket,42,18,Laptop,Food
57,F,Cricket,72,7,Laptop,Food
49,M,Football,16,1,TV,Travel
19,F,Cricket,62,1,Mobile,Travel
51,F,Cricket,23,11,TV,Food
39,F,Football,157,18,TV,Sports
51,M,Cricket,104,9,Mobile,Food
50,F,Cricket,175,1,Mobile,Food
41,M,Cricket,99,17,Laptop,Food
60,M,Football,99,2,Mobile,Travel
26,F,Cricket,173,6,Laptop,Sports
36,F,Football,97,6,Mobile,Travel
42,M,Cricket,117,17,Laptop,Food
24,M,Cricket,132,1,Laptop,Sports
60,M,Football,155,10,TV,Sports
41,M,Football,12,2,Mobile,Travel
51,F,Football,49,16,Mobile,Travel
45,M,Football,46,11,Laptop,Travel
56,M,Cricket,82,3,TV,Food
43,F,Football,130,1,Mobile,Sports
34,F,Cricket,93,8,Mobile,Food
29,F,Cricket,120,11,TV,Sports
38,F,Football,152,9,Mobile,Sports
21,F,Cricket,20,4,Laptop,Travel
51,F,Cricket,92,3,Mobile,Food
45,F,Cricket,25,2,TV,Food
36,M,Cricket,118,3,Laptop,Food
46,F,Cricket,18,1,Laptop,Food
48,F,Cricket,70,20,TV,Food
23,F,Football,134,8,Laptop,Sports
60,M,Football,39,8,Laptop,Travel
48,M,Cricket,167,15,TV,Food
23,F,Cricket,16,13,Mobile,Gaming
24,F,Football,100,1,Laptop,Travel
24,F,Football,80,13,TV,Gaming
18,F,Football,45,14,TV,Gaming
50,F,Football,132,19,Laptop,Sports
33,M,Football,72,2,Laptop,Travel
40,F,Football,131,4,Laptop,Sports
58,F,Cricket,47,5,TV,Food
34,M,Football,178,12,TV,Sports
58,M,Football,78,5,Laptop,Travel
58,F,Cricket,65,11,TV,Food
24,M,Football,122,12,Laptop,Gaming
26,F,Football,78,2,Mobile,Travel
38,F,Cricket,169,4,Laptop,Food
60,M,Football,146,20,TV,Sports
51,F,Football,76,7,Laptop,Travel
58,M,Cricket,37,3,Laptop,Food
32,M,Cricket,168,18,TV,Food
50,F,Football,30,20,Laptop,Travel
33,M,Football,138,5,Laptop,Sports
51,F,Cricket,36,11,Mobile,Food
56,M,Football,172,12,Mobile,Sports
54,F,Football,173,6,Laptop,Sports
45,F,Football,30,4,Laptop,Travel
54,M,Cricket,101,16,Mobile,Food
18,M,Cricket,28,20,TV,Gaming
40,M,Football,29,18,Laptop,Travel
33,F,Cricket,152,10,Mobile,Food
22,M,Football,166,17,TV,Gaming
20,M,Football,100,15,Mobile,Gaming
59,M,Football,75,3,Laptop,Travel
19,F,Football,89,7,Laptop,Travel
29,M,Football,61,7,TV,Travel
60,M,Cricket,161,16,TV,Food
50,F,Cricket,128,11,Laptop,Food
39,F,Cricket,26,5,TV,Food
37,M,Football,124,18,Laptop,Sports
37,M,Cricket,81,10,TV,Food
34,M,Cricket,8,9,Laptop,Food
59,F,Cricket,71,1,Laptop,Food
45,F,Cricket,58,10,Laptop,Food
56,F,Cricket,146,16,Mobile,Food
18,F,Cricket,83,17,Mobile,Gaming
33,M,Football,39,5,TV,Travel
31,M,Football,44,13,TV,Travel
50,M,Football,123,6,Laptop,Sports
20,M,Cricket,31,0,Mobile,Travel
56,F,Football,90,17,Laptop,Travel
28,M,Cricket,46,14,Mobile,Travel
54,F,Football,71,11,TV,Travel
57,F,Football,58,2,Mobile,Travel
22,M,Football,7,11,TV,Gaming
29,F,Cricket,97,12,Mobile,Travel
24,M,Cricket,94,12,TV,Gaming
34,M,Cricket,155,0,Laptop,Food
57,F,Cricket,116,2,Mobile,Food
50,F,Cricket,150,4,TV,Food
46,F,Cricket,69,2,Mobile,Food
19,F,Football,39,2,TV,Travel
28,F,Cricket,14,17,Mobile,Travel
33,F,Football,47,18,TV,Travel
53,M,Football,139,13,TV,Sports
40,M,Football,159,16,Mobile,Sports
43,F,Cricket,153,2,TV,Food
48,F,Football,15,9,TV,Travel
33,F,Cricket,85,9,Laptop,Food
18,F,Football,179,15,Mobile,Gaming
55,F,Cricket,159,3,TV,Food
59,M,Cricket,67,18,TV,Food
27,M,Football,114,20,Mobile,Sports
54,M,Football,54,4,Mobile,Travel
29,M,Football,149,16,TV,Sports
46,F,Football,27,3,Laptop,Travel
45,M,Cricket,132,3,Laptop,Food
19,M,Cricket,51,0,Laptop,Travel
46,M,Football,56,20,Laptop,Travel
30,F,Cricket,16,18,TV,Travel
30,F,Football,103,2,Laptop,Sports
53,M,Cricket,122,5,Mobile,Food
34,M,Cricket,99,9,Mobile,Food
46,F,Football,51,12,Laptop,Travel
54,F,Cricket,27,5,Laptop,Food
18,F,Football,119,6,TV,Sports
52,M,Cricket,172,8,Laptop,Food
51,M,Cricket,87,7,Mobile,Food
25,F,Cricket,118,12,TV,Sports
32,F,Football,6,13,Laptop,Travel
42,F,Cricket,168,18,Mobile,Food
21,M,Cricket,151,6,TV,Sports
32,M,Football,133,3,TV,Sports
21,M,Football,87,1,Laptop,Travel
41,F,Football,25,4,Mobile,Travel
31,M,Cricket,19,5,TV,Food
24,M,Cricket,120,4,Laptop,Sports
58,M,Football,156,16,TV,Sports
46,M,Cricket,147,15,Laptop,Food
51,M,Cricket,61,11,Laptop,Food
52,M,Football,122,9,TV,Sports
44,F,Football,160,13,TV,Sports
23,F,Football,42,3,Laptop,Travel
55,F,Cricket,139,0,Mobile,Food
53,F,Cricket,64,2,Laptop,Food
35,F,Cricket,95,9,TV,Food
55,M,Cricket,119,10,TV,Food
32,F,Football,16,7,Mobile,Travel
44,F,Football,148,1,Laptop,Sports
36,F,Football,139,4,Laptop,Sports
58,F,Football,35,15,TV,Travel
53,M,Football,87,0,Laptop,Travel
23,F,Cricket,76,8,Mobile,Travel
60,F,Cricket,100,13,Laptop,Food
59,F,Cricket,46,4,Laptop,Food
21,M,Football,169,16,TV,Gaming
48,F,Cricket,91,19,TV,Food
49,F,Cricket,27,4,TV,Food
20,M,Cricket,139,12,TV,Gaming
40,M,Football,131,14,TV,Sports
22,M,Cricket,138,1,Mobile,Sports
23,F,Football,110,1,TV,Sports
42,F,Football,101,19,Laptop,Sports
36,F,Cricket,155,11,Laptop,Food
47,F,Football,150,11,Laptop,Sports
46,F,Cricket,103,1,Laptop,Food
56,M,Cricket,112,9,TV,Food
33,F,Cricket,127,15,Mobile,Food
57,M,Cricket,55,7,Laptop,Food
53,M,Football,20,0,Laptop,Travel
51,F,Football,138,3,Mobile,Sports
56,F,Cricket,142,8,Mobile,Food
31,M,Football,111,5,Laptop,Sports
57,M,Cricket,179,14,Laptop,Food
18,M,Football,135,4,Laptop,Sports
48,M,Cricket,157,6,Laptop,Food
28,M,Cricket,180,7,Mobile,Sports
19,F,Football,180,15,Mobile,Gaming
37,M,Football,79,18,TV,Travel
23,F,Cricket,111,1,TV,Sports
20,F,Football,127,1,TV,Sports
39,F,Football,48,4,Laptop,Travel
21,F,Football,138,15,Mobile,Gaming
47,M,Cricket,15,1,Mobile,Food
45,F,Football,179,13,Laptop,Sports
18,M,Football,165,14,Laptop,Gaming
54,F,Football,124,12,Laptop,Sports
45,F,Football,84,4,TV,Travel
32,M,Football,106,9,Laptop,Sports
51,F,Football,98,1,TV,Travel
20,M,Cricket,167,8,Laptop,Sports
35,M,Cricket,116,4,TV,Food
56,M,Football,12,13,TV,Travel
51,M,Cricket,5,11,Laptop,Food
22,M,Cricket,178,11,Laptop,Gaming
28,F,Cricket,120,2,Mobile,Sports
56,M,Football,30,13,TV,Travel
31,F,Football,150,4,TV,Sports
24,M,Cricket,175,19,Mobile,Gaming
40,F,Football,55,17,TV,Travel
53,M,Cricket,86,2,TV,Food
51,F,Football,14,2,TV,Travel
27,M,Cricket,72,10,Laptop,Travel
40,M,Football,129,0,Mobile,Sports
39,M,Cricket,96,6,Laptop,Food
24,F,Football,174,12,Mobile,Gaming
33,M,Cricket,92,11,TV,Food
48,M,Football,97,7,TV,Travel
52,M,Cricket,177,15,Laptop,Food
44,F,Cricket,165,0,TV,Food
54,F,Cricket,81,9,Mobile,Food
55,M,Cricket,85,5,TV,Food
58,F,Cricket,128,11,TV,Food
35,F,Cricket,69,0,Laptop,Food
42,F,Football,74,3,Mobile,Travel
38,M,Cricket,48,7,Laptop,Food
28,M,Football,65,2,Mobile,Travel
47,M,Football,36,4,TV,Travel
31,F,Football,121,6,Mobile,Sports
38,M,Cricket,17,10,TV,Food
33,M,Cricket,38,18,Mobile,Food
48,F,Football,132,3,TV,Sports
58,M,Football,165,18,Laptop,Sports
38,M,Cricket,10,17,TV,Food
46,M,Cricket,49,4,TV,Food
55,F,Cricket,88,12,Laptop,Food
48,F,Cricket,30,3,TV,Food
46,M,Cricket,105,16,TV,Food
59,M,Football,152,11,TV,Sports
51,F,Football,125,15,Laptop,Sports
30,M,Cricket,162,9,TV,Sports
20,M,Cricket,167,4,TV,Sports
23,M,Football,8,1,Laptop,Travel
25,M,Football,107,16,Mobile,Sports
33,F,Football,102,5,Mobile,Sports
50,M,Football,90,5,TV,Travel
25,F,Cricket,104,1,TV,Sports
24,F,Football,131,17,TV,Gaming
33,F,Cricket,51,8,Laptop,Food
18,M,Football,74,4,Mobile,Travel
44,F,Football,124,17,Laptop,Sports
47,M,Cricket,34,10,TV,Food
28,M,Football,153,14,TV,Sports
46,F,Football,134,13,Mobile,Sports
55,M,Cricket,117,11,TV,Food
39,M,Cricket,56,13,Laptop,Food
45,F,Football,160,3,Mobile,Sports
50,F,Cricket,26,18,Mobile,Food
34,M,Cricket,126,16,TV,Food
43,M,Cricket,161,0,Laptop,Food
54,F,Cricket,124,5,Laptop,Food
31,M,Cricket,148,18,TV,Food
28,F,Football,167,15,Laptop,Sports
32,F,Cricket,14,14,TV,Food
25,M,Cricket,42,3,Mobile,Travel
35,F,Football,40,1,TV,Travel
51,F,Football,111,16,Mobile,Sports
54,F,Football,87,6,TV,Travel
19,F,Football,15,16,Laptop,Gaming
36,F,Football,79,18,Laptop,Travel
44,F,Cricket,119,19,Laptop,Food
27,M,Football,31,5,TV,Travel
24,M,Cricket,172,19,Mobile,Gaming
46,M,Cricket,60,1,TV,Food
43,M,Cricket,140,17,Laptop,Food
44,M,Cricket,17,1,TV,Food
39,F,Football,79,2,Laptop,Travel
24,M,Football,155,20,TV,Gaming
21,M,Football,176,3,Laptop,Sports
55,M,Cricket,177,16,Mobile,Food
39,F,Football,119,0,TV,Sports
51,F,Cricket,17,20,Mobile,Food
50,F,Football,42,16,Laptop,Travel
31,M,Football,175,16,Mobile,Sports
25,F,Football,34,5,Laptop,Travel
34,M,Cricket,167,4,TV,Food
49,F,Cricket,32,18,Mobile,Food
43,F,Football,113,17,Laptop,Sports
58,F,Cricket,22,16,Mobile,Food
21,F,Cricket,20,5,TV,Travel
46,F,Cricket,38,18,Mobile,Food
38,F,Football,41,15,TV,Travel
59,F,Football,32,5,Mobile,Travel
25,M,Football,141,13,Mobile,Sports
21,M,Football,65,18,Laptop,Gaming
59,F,Cricket,120,13,Mobile,Food
51,M,Football,166,9,Mobile,Sports
28,M,Cricket,29,4,Mobile,Travel
29,F,Cricket,39,8,Mobile,Travel
56,M,Football,28,19,Laptop,Travel
39,M,Football,30,0,Laptop,Travel
46,M,Cricket,171,19,TV,Food
35,M,Football,47,3,TV,Travel
30,M,Cricket,119,20,TV,Sports
39,F,Football,35,4,Mobile,Travel
22,F,Football,60,7,Mobile,Travel
41,F,Football,122,0,TV,Sports
35,F,Cricket,34,17,TV,Food
33,F,Football,61,0,TV,Travel
24,M,Football,151,11,Mobile,Gaming
20,M,Football,88,20,Mobile,Gaming
39,F,Cricket,7,7,TV,Food
55,M,Cricket,30,5,Mobile,Food
39,F,Football,169,15,Mobile,Sports
40,F,Cricket,12,17,TV,Food
41,M,Football,116,12,Mobile,Sports
24,M,Football,110,1,Mobile,Sports
43,M,Football,127,17,Laptop,Sports
60,F,Football,163,5,TV,Sports
19,M,Football,20,6,Mobile,Travel
59,M,Football,168,11,Laptop,Sports
20,M,Football,165,6,TV,Sports
25,M,Football,17,10,Mobile,Travel
60,M,Football,155,6,Laptop,Sports
39,F,Cricket,57,20,Mobile,Food
23,F,Cricket,32,10,Laptop,Gaming
26,M,Football,63,11,TV,Travel
53,M,Football,106,8,Laptop,Sports
25,M,Cricket,43,8,Laptop,Travel
30,M,Cricket,64,16,Mobile,Travel
58,F,Football,62,8,TV,Travel
57,M,Football,62,7,Laptop,Travel
40,F,Cricket,164,8,TV,Food
36,M,Cricket,83,11,Mobile,Food
20,F,Cricket,140,3,TV,Sports
35,M,Football,160,20,Mobile,Sports
38,M,Cricket,152,14,Mobile,Food
37,F,Cricket,54,16,TV,Food
30,F,Football,141,19,Mobile,Sports
32,F,Football,105,7,Mobile,Sports
28,M,Cricket,48,18,Mobile,Travel
26,M,Football,81,6,TV,Travel
41,F,Cricket,174,3,TV,Food
22,F,Cricket,151,16,TV,Gaming
37,F,Cricket,36,14,Mobile,Food
23,M,Cricket,10,14,TV,Gaming
19,F,Cricket,142,20,Mobile,Gaming
19,F,Football,145,2,Laptop,Sports
22,M,Cricket,152,8,Laptop,Sports
51,M,Cricket,89,9,TV,Food
41,F,Cricket,161,11,Mobile,Food
36,F,Football,24,15,TV,Travel
58,M,Football,136,18,Laptop,Sports
27,F,Football,66,18,Mobile,Travel
33,F,Cricket,163,17,Mobile,Food
27,F,Cricket,85,0,TV,Travel
34,M,Cricket,99,16,Mobile,Food
50,F,Football,148,16,TV,Sports
32,M,Cricket,5,11,TV,Food
58,M,Football,73,10,Laptop,Travel
54,M,Cricket,123,8,Laptop,Food
24,M,Football,51,18,TV,Gaming
42,M,Cricket,135,2,Mobile,Food
27,F,Cricket,126,13,TV,Sports
48,F,Cricket,46,16,Laptop,Food
47,F,Football,48,19,Mobile,Travel
34,M,Cricket,49,3,Laptop,Food
44,M,Football,27,8,TV,Travel
50,M,Football,126,1,Laptop,Sports
59,M,Cricket,57,8,TV,Food
57,M,Cricket,79,4,Laptop,Food
31,F,Football,173,2,Mobile,Sports
28,M,Football,144,11,Mobile,Sports
45,M,Football,45,16,Mobile,Travel
36,F,Football,169,3,TV,Sports
39,F,Football,43,11,Mobile,Travel
20,M,Cricket,123,8,Laptop,Sports
45,F,Football,22,7,Mobile,Travel
57,M,Football,63,12,Mobile,Travel
60,M,Cricket,157,12,Laptop,Food
59,F,Cricket,68,20,Mobile,Food
26,M,Football,14,11,TV,Travel
28,F,Cricket,97,11,Laptop,Travel
35,M,Cricket,167,5,Mobile,Food
29,M,Cricket,127,11,Laptop,Sports
38,M,Football,149,10,Mobile,Sports
42,F,Cricket,32,8,Mobile,Food
32,M,Cricket,48,1,Laptop,Food
48,M,Football,150,7,Mobile,Sports
46,M,Cricket,42,14,TV,Food
21,M,Cricket,56,14,Laptop,Gaming
31,F,Football,96,3,TV,Travel
38,M,Cricket,153,12,TV,Food
54,M,Football,41,20,Laptop,Travel
46,M,Cricket,65,18,Mobile,Food
44,F,Cricket,158,2,Laptop,Food
45,M,Football,144,18,Mobile,Sports
36,F,Football,161,19,TV,Sports
22,F,Cricket,19,1,TV,Travel
32,F,Football,37,7,TV,Travel
36,F,Cricket,115,2,Mobile,Food
27,M,Cricket,20,20,TV,Travel
27,F,Football,153,17,Laptop,Sports
56,F,Cricket,46,5,TV,Food
45,F,Football,156,0,Laptop,Sports
36,M,Cricket,44,7,Mobile,Food
46,F,Cricket,158,9,Laptop,Food
29,F,Cricket,89,11,TV,Travel
36,F,Cricket,97,13,TV,Food
33,F,Football,23,16,Mobile,Travel
40,F,Cricket,76,17,TV,Food
36,M,Football,165,13,TV,Sports
35,F,Football,150,10,TV,Sports
28,M,Cricket,19,13,TV,Travel
38,M,Cricket,132,20,TV,Food
22,M,Football,81,16,Laptop,Gaming
51,M,Football,8,17,Laptop,Travel
37,F,Football,92,3,Laptop,Travel
49,M,Football,125,1,Laptop,Sports
39,F,Cricket,93,19,TV,Food
59,M,Football,121,17,Laptop,Sports
34,M,Cricket,68,14,Mobile,Food
31,F,Football,29,18,TV,Travel
56,F,Football,76,15,TV,Travel
25,M,Football,45,13,TV,Travel
57,M,Football,36,20,Laptop,Travel
26,F,Cricket,46,0,Laptop,Travel
18,M,Cricket,8,10,TV,Gaming
45,M,Football,149,5,Laptop,Sports
22,F,Cricket,30,14,TV,Gaming
27,M,Cricket,89,13,Laptop,Travel
59,F,Cricket,28,5,Laptop,Food
29,F,Cricket,98,5,Mobile,Travel
31,F,Cricket,73,16,Mobile,Food
41,F,Cricket,35,10,Laptop,Food
52,M,Cricket,172,9,Laptop,Food
37,M,Cricket,151,11,Laptop,Food
49,M,Cricket,134,5,Laptop,Food
35,M,Cricket,151,8,Mobile,Food
40,M,Cricket,8,18,Laptop,Food
22,M,Cricket,157,12,Laptop,Gaming
20,M,Football,154,16,Mobile,Gaming
22,F,Cricket,105,14,TV,Gaming
44,F,Cricket,82,19,Laptop,Food
57,F,Cricket,126,6,Laptop,Food
45,M,Football,148,18,Mobile,Sports
45,F,Cricket,52,2,Mobile,Food
42,M,Cricket,127,10,TV,Food
48,F,Cricket,153,7,Mobile,Food
29,M,Cricket,32,0,Laptop,Travel
51,M,Cricket,150,8,Mobile,Food
53,F,Cricket,43,16,Mobile,Food
46,M,Cricket,25,12,Mobile,Food
59,M,Football,39,9,TV,Travel
19,F,Football,76,9,Laptop,Gaming
55,M,Football,9,7,Laptop,Travel
55,F,Football,158,1,Mobile,Sports
35,M,Cricket,25,12,Mobile,Food
27,F,Cricket,53,9,Laptop,Travel
52,F,Cricket,83,18,TV,Food
32,M,Football,167,20,Mobile,Sports
30,M,Cricket,124,8,Mobile,Sports
20,F,Cricket,112,1,TV,Sports
33,M,Cricket,62,11,TV,Food
